penalty_number,breach_description
18,"Breach is for failures in carrying out risk assessments."
19,"Breach is for failures in having the correct policies, controls and procedures."
21,"Breach is for failures in notifying HMRC of material change."
24,"Breach is for failures relating to appropriate staff training."
28,"Breach is for failures in conducting due diligence."
30,"Breach is for failures relating to timing of verification."
33,"Breach is for failures in conducting due diligence."
39,"Breach is for failures in relying on a third party to conduct customer due diligence measures."
56,"Breach is for failure to apply for registration at the required time."
57,"Breach is for failure in the provision of registration information."
